starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:20:54 2025	1753129254	0	24	24	22
Mon Jul 21 21:20:55 2025	1753129255	0	24	24	19
Mon Jul 21 21:20:54 2025	1753129254	0	24	24	17
Mon Jul 21 21:20:55 2025	1753129255	0	24	24	20
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	24
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	22
Mon Jul 21 21:20:55 2025	1753129255	2	23	24	17
Mon Jul 21 21:20:55 2025	1753129255	0	24	24	22
Mon Jul 21 21:20:54 2025	1753129254	0	24	24	19
Mon Jul 21 21:20:55 2025	1753129255	1	23	24	23
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	23
Mon Jul 21 21:20:55 2025	1753129255	0	24	24	16
Mon Jul 21 21:20:55 2025	1753129255	1	23	24	16
Mon Jul 21 21:20:56 2025	1753129256	2	22	24	16
Mon Jul 21 21:20:56 2025	1753129256	3	22	25	16
Mon Jul 21 21:20:56 2025	1753129256	3	21	25	21
Mon Jul 21 21:20:56 2025	1753129256	1	23	25	20
Mon Jul 21 21:20:55 2025	1753129255	4	21	25	15
Mon Jul 21 21:20:55 2025	1753129255	1	24	25	23
Mon Jul 21 21:20:55 2025	1753129255	0	24	25	15
Mon Jul 21 21:20:56 2025	1753129256	0	25	25	24
Mon Jul 21 21:20:55 2025	1753129255	0	25	25	20
Mon Jul 21 21:20:55 2025	1753129255	1	24	25	20
Mon Jul 21 21:20:54 2025	1753129254	0	25	25	24
Mon Jul 21 21:20:55 2025	1753129255	4	21	25	17
Mon Jul 21 21:20:54 2025	1753129254	0	25	25	25
Mon Jul 21 21:20:54 2025	1753129254	2	23	25	22
Mon Jul 21 21:20:56 2025	1753129256	0	25	25	21
Mon Jul 21 21:20:55 2025	1753129255	0	25	25	24
Mon Jul 21 21:20:55 2025	1753129255	0	25	25	20
Mon Jul 21 21:20:56 2025	1753129256	0	25	25	24
Mon Jul 21 21:20:55 2025	1753129255	2	23	25	21
Mon Jul 21 21:20:56 2025	1753129256	0	25	25	25
Mon Jul 21 21:20:54 2025	1753129254	0	25	25	19
Mon Jul 21 21:20:54 2025	1753129254	0	25	25	24
Mon Jul 21 21:20:56 2025	1753129256	0	25	25	25
Mon Jul 21 21:20:55 2025	1753129255	1	24	25	19
Mon Jul 21 21:20:55 2025	1753129255	0	25	25	24
Mon Jul 21 21:20:56 2025	1753129256	0	25	25	16
Mon Jul 21 21:20:55 2025	1753129255	0	25	25	25
Mon Jul 21 21:20:54 2025	1753129254	0	25	25	21
Mon Jul 21 21:20:55 2025	1753129255	4	21	25	20
Mon Jul 21 21:20:54 2025	1753129254	0	25	25	25
Mon Jul 21 21:20:56 2025	1753129256	0	25	25	22
