starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:05:21 2025	1753128321	19	359	377	350
Mon Jul 21 21:05:22 2025	1753128322	62	318	380	312
Mon Jul 21 21:05:22 2025	1753128322	62	319	381	310
Mon Jul 21 21:05:21 2025	1753128321	31	351	382	338
Mon Jul 21 21:05:22 2025	1753128322	36	346	382	345
Mon Jul 21 21:05:21 2025	1753128321	31	351	382	350
Mon Jul 21 21:05:22 2025	1753128322	214	169	383	163
Mon Jul 21 21:05:22 2025	1753128322	62	322	384	321
Mon Jul 21 21:05:22 2025	1753128322	62	322	384	321
Mon Jul 21 21:05:22 2025	1753128322	92	292	384	292
Mon Jul 21 21:05:22 2025	1753128322	62	322	385	319
Mon Jul 21 21:05:21 2025	1753128321	19	367	386	357
Mon Jul 21 21:05:21 2025	1753128321	19	367	386	354
Mon Jul 21 21:05:21 2025	1753128321	30	356	387	353
Mon Jul 21 21:05:22 2025	1753128322	91	296	387	290
Mon Jul 21 21:05:22 2025	1753128322	0	387	387	387
Mon Jul 21 21:05:22 2025	1753128322	154	234	388	230
Mon Jul 21 21:05:22 2025	1753128322	92	296	388	296
Mon Jul 21 21:05:22 2025	1753128322	92	298	390	285
Mon Jul 21 21:05:22 2025	1753128322	0	390	391	387
Mon Jul 21 21:05:22 2025	1753128322	32	359	392	358
Mon Jul 21 21:05:21 2025	1753128321	31	362	392	360
Mon Jul 21 21:05:22 2025	1753128322	156	236	392	223
Mon Jul 21 21:05:21 2025	1753128321	31	362	393	360
Mon Jul 21 21:05:22 2025	1753128322	152	242	395	204
Mon Jul 21 21:05:21 2025	1753128321	32	365	396	363
Mon Jul 21 21:05:21 2025	1753128321	30	366	397	362
Mon Jul 21 21:05:22 2025	1753128322	62	334	397	334
Mon Jul 21 21:05:21 2025	1753128321	31	366	397	363
Mon Jul 21 21:05:22 2025	1753128322	0	398	398	397
Mon Jul 21 21:05:22 2025	1753128322	62	337	399	337
Mon Jul 21 21:05:22 2025	1753128322	216	184	400	184
Mon Jul 21 21:05:21 2025	1753128321	336	66	401	65
Mon Jul 21 21:05:22 2025	1753128322	121	280	402	280
Mon Jul 21 21:05:22 2025	1753128322	63	340	402	336
Mon Jul 21 21:05:22 2025	1753128322	35	368	403	366
Mon Jul 21 21:05:22 2025	1753128322	216	187	403	186
Mon Jul 21 21:05:22 2025	1753128322	121	282	403	282
Mon Jul 21 21:05:22 2025	1753128322	90	314	405	314
Mon Jul 21 21:05:21 2025	1753128321	30	378	409	363
Mon Jul 21 21:05:21 2025	1753128321	31	378	409	362
Mon Jul 21 21:05:21 2025	1753128321	31	379	409	366
Mon Jul 21 21:05:21 2025	1753128321	31	379	410	377
